tick,tweet_sentiment,reach,engagement
10,0.2219828814268112,0.003314432378369258,0.03773871637708323
31,-0.1585182696580886,0.012976603461887797,0.009573983080897625
5,0.2244590818881988,0.008932612746911546,0.013474494706448507
14,-0.2869685292243957,0.0515277046009759,0.0023301757763031254
12,0.1185526475310325,0.002424887002001972,0.0494909072488729
12,-0.106957159936428,0.005420162580540643,0.021174205967276226
19,-0.1162371337413787,0.0025115912962255663,0.04523580365736285
8,-0.0227039251476526,0.05588131718606607,0.001975583810343954
14,0.1284472793340683,0.03483325950573467,0.0030900157033584923
12,-0.1334345936775207,0.005993656819899344,0.01788156628336964
22,0.1421581655740738,0.002203404206011873,0.04862975533154349
21,0.0848402380943298,0.027595811968280103,0.003799199635276835
14,0.0015618205070495,0.05588142615669141,0.0018742718200699053
34,-0.0613953284919261,0.0004821042082457709,0.21376829947824325
22,0.0956170335412025,0.02606457490286631,0.003951167620687908
8,0.3645715415477752,0.005890388990625076,0.017425662327136417
27,0.0146673284471035,0.006248248524219902,0.016361886429258902
26,0.0024531427770853,0.005584799033648494,0.018185502254191785
28,0.0965704023838043,0.0002041019812494245,0.49511169646927716
33,-0.1891165524721145,0.01194512384602378,0.008307583202472012
28,0.5256415009498596,0.017952401994089796,0.005521503469935667
34,0.073075495660305,0.00021336448440276197,0.46416088344055517
36,0.0883966386318206,0.03483356825583978,0.0028367357276733703
26,-0.0509936921298503,0.03483347744698534,0.0028367357276733703
26,-0.90207177400589,0.03483347744698534,0.0028367357276733703
25,0.0164176244288682,0.034833459285214446,0.0028367357276733703
26,0.0272535793483257,0.025524080601212733,0.0038498556304138597
3,0.0254428535699844,0.016294522900267724,0.005926751431031863
5,-0.0792965292930603,0.002232680980684775,0.04320956385188187
24,-0.035489447414875,0.05588155328908763,0.001722303834658832
12,0.8460240960121155,0.008500398923297575,0.011245630920419431
29,0.0292200967669487,0.034833531932298004,0.002735423737399321
34,0.2611652314662933,0.009848056808566399,0.009675295071171673
23,0.0697474852204322,0.0009227632553230788,0.10156527024973405
4,0.7738957405090332,0.03483318685865112,0.0026847677422622966
13,0.0212627630680799,0.004938730357817761,0.018742718200699053
2,-0.2324692159891128,0.003786184377208358,0.024213565675497695
28,-0.9267513751983644,0.006291709641957032,0.014386302618914949
14,-0.1839233785867691,0.03483325950573467,0.002583455751988248
6,-0.1504037827253341,0.005367802195067953,0.01666582240008105
26,-0.0965532884001731,0.007917660342556426,0.011245630920419431
23,-0.1517024636268615,0.009050355507584264,0.009776607061445721
29,0.1246267929673194,0.020160728040012562,0.004356415581784104
4,0.1350856274366378,0.03483318685865112,0.0024821437617141987
34,0.2514190971851349,0.005061522090797594,0.016463198419532952
10,-0.1417447328567505,0.0014995447752126699,0.05546831467504179
11,-0.495793730020523,0.004938712196046873,0.016817790385492123
22,-0.7540313601493835,0.017378199445666428,0.0047616635428803
2,0.0708846300840377,0.01787012917196309,0.004609695557469227
33,0.0290090590715408,0.006248230362449013,0.013069246745352312
8,0.0070042945444583,0.002890772748843958,0.028164733296185605
9,0.0292654633522033,0.002890772748843958,0.027708829339952383
14,0.0965471491217613,0.0045984514184433875,0.017172382351451295
25,-0.0331321470439434,0.017634934238951877,0.004457727572058153
9,-0.2254235297441482,0.016895514060752213,0.004609695557469227
14,-0.8963539600372314,0.007155047582931641,0.010587102983638113
16,-0.8723061084747314,0.006867256161426178,0.010739070969049186
8,-0.6452569961547852,0.003326037749967263,0.022035357884605644
30,0.0701412931084632,0.005168930803834531,0.013879742667544704
14,-0.0254629664123058,0.0018072778211541405,0.03935970822146801
8,-0.9326590299606324,0.05588131718606607,0.0012663998784256116
2,0.295140653848648,0.001541117068777355,0.04579301960387012
10,0.4056426286697387,0.005776133289963024,0.012208094828022896
30,0.0614388398826122,0.002147193525110737,0.032825084848791854
27,-0.0353567600250244,0.002900798046374629,0.024213565675497695
3,0.3397878408432007,0.00621666520464411,0.011194974925282408
23,0.0088711064308881,0.03483347744698534,0.001975583810343954
29,-0.889931857585907,0.003083323843808044,0.022288637860290766
2,-0.6612867712974548,0.034833168696880225,0.0019249278152069298
2,-0.0183629654347896,0.004010010041643124,0.016716478395218073
33,0.0444927737116813,0.00435125155487461,0.015399422521655439
2,0.0009032301604747,0.0014235922493553025,0.046350235550377386
27,0.2230632305145263,0.05201643785559612,0.0012663998784256116
22,-0.0944893956184387,0.0027154026891407683,0.023707005724127452
8,-0.136896401643753,0.1137813878535166,0.0005572159465072692
10,0.012710977345705,0.002043980181149135,0.030748189048173852
35,0.1344856470823288,0.004128043390650066,0.014842206575148169
8,0.1071856766939163,0.02006225491825296,0.003039359708221468
19,-0.215549498796463,0.018627729282822542,0.003241983688769566
8,-0.4911936521530151,0.003962044804725547,0.01474089458487412
27,0.0569222308695316,0.007218886207606114,0.00805430322678689
11,-0.0076591223478317,0.004938712196046873,0.011752190871789676
5,0.0608689114451408,0.04391280097913739,0.0013170558735626362
33,0.904587984085083,0.018627856415218764,0.0030900157033584923
35,0.0300258453935384,0.005448622075523545,0.010485790993364065
27,0.1421377658843994,0.034833495608756225,0.0015703358492477584
25,0.2387499958276748,0.03483347744698534,0.0015703358492477584
9,0.1467719972133636,0.03483324134396378,0.0015703358492477584
6,-0.2444438934326172,0.0021712033862258586,0.02507471759282711
6,0.0251743458211421,0.0021470845544854034,0.02507471759282711
3,0.0250893384218215,0.0125854897257954,0.004204447596373031
25,0.0352214761078357,0.0042910997696905834,0.012157438832885873
34,0.0404533520340919,0.0016558449754825173,0.03145737298009219
30,0.2482087612152099,0.018459387828453355,0.002735423737399321
36,-0.9323986768722534,0.018627892738760542,0.0026847677422622966
